;agency_words;agency;climate_words;climate;covid_words;covid;health_words;health;possibility_words;possibility;social_words;social;urgency_words;urgency
week_12;daysofaction, justsayno, weallstandtogether;3;flood_victim, leaveitintheground, overproduction, xreasthert, composting, planetearth, pollu, thereisnoplanetb, footpr, carbonzero, bpnetzero, climateactionn, saynotothemow, clientearth, globalclimatejustice, worldpangolinday, climatebreakd, multigenerational, extinctionreb, extinctionrebelion, nofashiononadeadplanet, climateemergencyno, savetheforest, capitalismisdestroyingourearth, greenenergy, greeningtheborough, gogreen, xrdecolonisedecarbonise, lovesongsfortheplanet, xrsuffolksunrise, fridaysforthefuture, cleanairmcr, climateemergen, climatedenier, economicslowdown, xpowertothepeople, repoweringlondon, insectapocalypse, civildiscobedience, worldwhaleday, climatevandalism, canterburyclimateaction, stopfundinghate, dontbuythescum, croydonclimateaction, climatestr, climatevalentine, valetinestotheplanet, releaseclimateplan, severefloodwarning, floodwarning, africanclimateallience, l'environnement, energietr, extractuntilnothingisintact, deforestati, solidarityandenergy, healthimpactassessment, cleaneconomy, upcycled, releaseclimateplans, xrsnowflakes, carboninthesoil, environmentalists, ecowatch, greendebt, friendoftheriver, cilmatecrisis;68;cumming, quarantine, shutdowncanada;3;0;0;0;0;unemployment;1;dyeing, runningoutoftime, exhausti, timesupondirtymoney, outrageously, destablisation;6
week_13;everybodywelcomeeverybodyneede, peoplegotthepower, communityengagement, iblockedthemailandthesun, iblockedpiersmorganjuliahartleybrewerandjeremyclarkson, iblockedthesun;6;reclaim_street, democratise, thebluewave, earthhour, keeptheseaplasticfree, fossilfue, peopleassembly, marchfortheirfuture, harvesting, everybodytogether, climateju, wearethedeadcanarie, golightly, communityclimatehub, emissions, holocene, loveourplanet, righttobreathe, environmentagency, civildisobedien, endcoal, climateemargency, ecosyste, discobedient, deforestat, teachersagainstclimatebreakdown, extinctonrebellion, alloflifeonearth, lockthegate, thirdenergy, hydrochloric, wearethecanarie, wearenature, meatless, windturbine, takebackcontrol, meatfreemonday, climateemergencysorte, wearethedeadcanaries, futureoftourism, zeroemissions, rebellionwave, wiltshireclimatealliance, climatejusti, ffosil, youthstrikeforafutture, reenergis, sustainabletravel, lleaveitintheground, ecosistemas, letsgetthetruthoutthere, peopleassemblie, standupforwhatyoustandon;53;0;0;0;0;anotherfutureispossible;1;0;0;oppressive, humiliating, timeisrunningout, destabilize;4
week_14;countrywide, jointherevolution, youngactivists, togetherstonger;4;naturenow, crossland, disposable, xrwinchester, biodiversitymatter, indigenou, schoolstrikeforclimate, netsdownfornature, biodiversitycrisis, xrhounslow, thegreatnhsheist, climateandecolo, extinguisher, climateassemb, endangeredspeciesact, unrecyclable, fridaysforfutureglobal, dontbuythesun, urbangreenplan, euclimatelaw, xrfaithbridge, bioplastic, biogasification, bigcompostexperiment, fridaysforfu, extinctionrebellionukraine, stopplasticwaste, creativerebellion, protectearth, protectmothernature, protectourhome, nomoredenye, nomoredye, protectwildlife, protectourplanet, nomorecoffin, enviornmental, climateactionweekncl, buildhomesnow, stopfundingfossilfuel, ecosocialism, naturesright, greeneconomy, stayontheground, leavitintheground, sutherlandspaceport, onelifeonourplanet, iamnotaconsumer, bluewaveglasgow, amgylcheddo, xrbristolsamba, everytreecount, whenignoringexpertsgoesbad, guildfordgreendiary, housingdevelopment, xrdeclaration, environmentalracism, riversareforsalmon, climatechangecalmbeforethestorm, worldisburne, cleanwater, uncontaminatedfood, dontbeafossilfool, stopdenyingtheearthisdye, plantmoretree, looktothefuture, notodeepseadrille, fridaysforfuturehealth, environnement, fairtrade, fairtradefortnight, stopcoastalerosion, climateadaptati, peatfreecompost, fingerprintsnotfootprint;75;covid, pandemic, vaccine, death_rate, coronavid, coronaoutbreak, medicalemergenc, amedicalemergency, healthcrisis, medicalemergency;10;0;0;changeiscome, wonderfulworld;2;0;0;inefficient, extraordinarily, irreversib, deathbed, groundbreake;5
week_15;mobilising, occupyarla, mothersriseup;3;greatbarrierreef, ecolog, climatereframe, saveourgreenspace, aerosol, greentransition, plantbasedfoodsystem, recycl, fuellingourextinction, eastlondonclimatesummit, plantationsarenotforest, savecardifftree, xrderbystayingalive, seafloor, maintainwhatwehave, protecttheenvironment, protectoutfuture, saveourgreenbelt, cleanaircitie, horticulturist, righttorepair, stopgreenwashe, transformativeadaptation, plasticus, protectlakevictoria, ecoentrepreneur, climateleadership, wetsuwetensolidarity, everymoleculematter, saveryebankfield, seabirds, fossilfuelfa, climateassemblyguildford, nomorecruise, banfossilfuel, indigeno;36;lockdown, coronavirus_pandemic, stay_home, self_isolate, flatten_curve, corona_virus, flattenthecurve, coronavirusuk, precaution, flatten, cornoravirus, spreader, sanitizer, panicbuyer, epidemiolo, coronvirus;16;fibromyalgia;1;thefutureisfemale, wemaketomorrow;2;jobless;1;horrible, inconceivable, unprecedentedness;3
week_16;strikefromschool, keepfighte, communityaction, communityspirit;4;climatestrikeonline, connectingcommunitie, noinsectsnofuture, standforthetree, defundclimatechange, nonviolence, dearearth, rebelbookclub, standforthetrees, planetarycr, animalactivism, stopfossilfuel, locustinvasion, amazonrainforest, saveourseassaturday, hertfordstrike, wildfl, silentstrike, naturerestoration, indigenously, bankingonclimatechange, climateemergecy, freeallprotester, generationsunite, weareoneworld, systemshift, seagrassiswhereitsat, plantaflowerday, photosynthesis, biodivesity, contagio, earthship, blueskiesundertheflightpath, humanityisaliveand;34;social_distancing, return_normal, social_distance, essential_work, socialdistancing, cough, coronaviruspandemic, coronavir, lockdownuk, sanitiser, coronavirusoutbreak, covi, healthworker, infected, coronauk, selfisolation, corvid, coronavirusupdate, coronav, herdimmunity, chlorine, ukcoronavirus, cornavirus, hospitalise, staythefuckhome, pausethesystem, sanitation, coronovirus, peoplebeforeprofit, dontbeaspreader, viru, viruse, hygienic, covidart, selfisolationgame, coronapanic, solonotalone, schoolclosureuk, canceleverythe, onlinerebellion, immunocompromise, flattenthecur, conronavirus;43;renationalise, privatize, therapist;3;connectingcommunities, wecanworkthisout, bravefuturemother, bravenewfuture;4;basic_income;1;mattermost, liketheresnotomorrow, unpreparedness;3
week_17;demand_kick, stayconnecte;2;cop_pollutersout, climatekindness, climatekindness_day, demand_shell, kick_pollutersout, industry_steal, withdraw_involvement, exert_fossil, level_pollutersout, pollute_corporation, regenerativerebellion, pollutersout_cop, talksforfuture, glacial, groundwater, renewabl, ecologicaljustice, ecofascist, pollutersoutnow, greenspace, fridaysforfutur, ecofacism, gardeningisnotcancelle, everydaywildlife, environmentali, polluterout, keepthecountrytidychallenge, boycottwetherspo, forestsandbiodiversity, biomedical, phulbariresistance, ecosystemregeneration, regenerationrise, internationaldayofforest, internationalforestday, natureishealing, renewably, wildlifefrommywindow;38;alonetogether, ppe, stayathome, key_worker, socialdistance, stayhomesavelive, keyworker, sars, uklockdown, contagious, stayathomesavelive, coronavirusbill, clapforourcarer, homeschool, antibody, disea, coronaviruslockdown, coronacrisis, helpthenhs, covididiot, solaceinnature, homeschooling, stayhomestaysafe, staysafestayhome, coronavirusbilluk, flattenthecuve, covidukright, coronacrisisuk, myquarantineinsixword, covidra, coronaviru, unitebehindthescience, stopcovid, stopcoronavirus, stayinghomesaveslive, coreadingvirus, lockdownnow, myquarantineinsixwords, payyourstaff, coronacapitalism, asymptomat, yournhsneedsyou, savannahs, disinf;44;nhsnoth, nhsnoths, nhsheroe, nhsthankyou, psychotherapi;5;thefuturewechoose;1;universalbasicincome, rental;2;heartbroken, lethargic, resilenceskill;3
week_18;onlinegathering, virtualsummit, mustwatchs, mustread, demandafuture, klimaaktivistischen;6;construction_site, digitalrebellion, treemageddon, climatekindess, thetruthaboutzane, motherearth, extinctionrebellio, systemchangenow, lowcarbonfuture, protectourwildlife, savethetree, peatfreeapril, cyanide, pavementchallenge, humanandplanetaryhealth, indigineouswisdom, feedthenation, carbonbubble, greenergoogle, digitalaction, spottherainbow, rainbowtrail, dontbailoutecocide, protectthevulnerable, waterislife, therewildtribe;26;justrecovery, socially_distant, clapforcarer, newnormal, coronaviruslockdownuk, nhscovidheroe, stayhomesavelives, coronalockdown, disinfectant, thankyounh, thankyounhs, postcovid, clapfornhs, clapforthenhs, socialdistanacing, togetherathome, thankyounhsstaff, jackmonroeslockdownlarder, socialdistancinguk, extermintatecovid, nonessential, stopthespreadofcorona, immunologist, whencoronavirusisover, launchinginlockdown, volunteersagainstcovid, stayhomesaveli, cornonavirus, covidheroe, socialdistanci, coronaviruscrisis, coronapandemic, thelockdown, yomequedoencasa, lifeinthetimeofcorona, nhsworkers, stayathomeandstaysafe, karunavirus, presymptomatic, aftercovid, supportthenhs, beatthevirus, postcorona, postpandemic, stayhomeandgrowyourown, cuarentena;46;nh;1;earthoptimism, empowered;2;stopandscrapuniversalcredit;1;unnecessa, irrecoverable, apocaylpse, disastercap;4
week_19;0;0;earthdayswitch, doughnuteconomic, earthdayswtich, digitalclimatestrike, worldhealthday, ecosy, climatesafestreet, climatest, emmission, lovenature, saveourtree, futuregenerationsbill, prosecutepolluter, europeanrewildingnetwork, ecodemocracy, gardenwildflowerhunt, ccimateemergency, dairyindustrycruelty, dairycruelty, dairyisdeath, dairyisrape, internationalbeaver, bringbeaversback, xrscientist, nocarbonbailout, woodlandprotector, naturerecovery, dontdrillwight;28;socially_distance, savepeoplenotplane, clapforkeyworker, savelive, essentialworker, carryingthecountry, pandemi, biodiversidadycovid, museumsunlocke, nhsheroes, coronvirusuk, sciencefromhome, stayhomesavelivesnhs, immunocomprimise, thisisjustadrill, coronavirous, homeschoolsoutf, pneumoni, covidlockdown, kindnessiscontagioustoo, keyworkerheroe, savelivesstayhome, workingfromhome, keepyourdistance, staylockeddown, rainbowsfornightingale, togetherapart;27;healthcareworker;1;0;0;0;0;nogoingback, horrid, devasta, catastrophically, disgracefu, heartbreakin;6
week_20;crowdsourced, deconstruct, bounceforward;3;green_recovery, greenrecovery, siberia, wearetheboat, thirddemand, carblind, lovetreesaxedrax, earthdaysw, systemcha, bailouttheplanet, climatejust, trustthepeople, xrcamden, bioenergy, thetideskeeprise, oilspill, ecologicalbreakd, cardependancy, regenerativedesign, extinctiorebellion, globaljustice, heatstroke, nodirtybailout, klimaschutz, emergencymeasuresnow, aerodynamic, dogcatmeattrade, earthdaybingo, earthdaychallenge, healrewilde, cattleindustry, animalrights, chernobylwildfire, responsibleinvestment, virtualclimatestrike, endplasticpolluti, thisisnotadrll, institutionalcyclophobia, protectourcoast, wildlifetrade, environmentemergency, stophorsehill, ecologicall;43;covidcrisis, physicaldistance, lockdowner, covidtesting, coronaviruse, lockdownextention, stayhomebutnotsilent, epidemiology, lockdownextende, staysafeeveryone, keyworkers, wheelsforheroe, nodairybailout, nobailoutsforbillionaire, reinfection, crushthecurve, oncethingsgetbacktonormal, protectallworker, virtualparliament, ppeforthenhs, virology, socialdistancingnow, covidemergency, immunosuppresse, arbordayathome, covidshame, lockdownboredom, frontliner, coronavirusinindia, thankyoupostalworker, staysafestayho, exponentially, covidreport, rainbowsfornighti, localhistoryinlockdown, protectthenhs, beatmungsger, frontlineworker, stayinghome, covidsafetyfirst, coronakrise, londonlockdown;42;youclapformenow;1;zukunftsgewandte;1;payeveryworker, eviction_team, basicincome, cancelthedebt, endpoverty;5;devastatio, emergencyplan, monumentally, unbelieveably, nightmarish;5
week_21;galvanise, chasethemoneyout, politicize;3;axedraxnottrees, oilinthewater, urgewald, peoplenotpolluter, planetnotprofit, moneyrebellion, earthdayathome, xrsuttonreconnectwithnature, climatechang, thisisadrill, earthdayswi, earthweek, aprilrebellion, extinctionendshere, biofuelwatch, motorphile, citizensassemblies, daysofclimateaction, tellthetruthbelgium, wildflowerhour, cookingforclimate, letterstomotherearth, sustainablity, indigen, guardiansoftheforest, whatsthebirdieuk, endangeredspecie, wildflowersseeninuk, wastemanagement, whywecycle, veganhour, indianveganfood, cancelanimalag, aerosols, anthropocentric, wearetheplanet, climateeducation, wecanteatmoney, peoplespodium, peopleoverprofit, cleanwateract, cleanairact, earthwe, airstrike, fireyourfossilbank, endtofossilfuelssubsidie, crowdfarming, stopdrilling;48;buildbackbetter, spacefordistance, defendthedefender, xrsuttonalonetogether, letsstayhomebutnotsilent, convid, bailouthuman, alonetogetherflame, togetheralone, covidpandemic, easterlockdown, bailouthumansnow, socialisolation, coronaviruses, nzlockdown;15;publichealthnotprivat, neuroatypical;2;thefutureishere, liveourbestlife;2;0;0;inexorably;1
