;agency_words;agency;climate_words;climate;covid_words;covid;health_words;health;possibility_words;possibility;social_words;social;urgency_words;urgency
week_14;gofundme, organizevotestrike, actio;3;climatecandidate, sunrisecleveland, climateeme, climatee, sunrisemvmtsilverspring, yearstosavetheplanet, climateresistance, thetimeisnow, futuregrandparentsforbernie, texasforagreennewdeal;10;covid;1;healthcareforall;1;0;0;eviction, jobsguarantee, endhomelessness, universalchildcare;4;0;0
week_15;0;0;climatestrikeonline, houstonclimatestrike, bigyouthenergy, votegnd, drinkable, intergenerational, underinsure, portlandclimatedebate, greenwashing, phaseoutfossi, decarboniz, sunrisemvmthtx, greennewdealvoter, housingjusticeisclimatejustice, pdxclimatedebate, litterdoesntstopwhereitdrop, putitinyourpocket, rethinkrecyclemd, renewableene;19;quarantine, social_distancing, curve, distance, infect, sanitizer, immunocompromise, quarantining, coronaviruspandemic, exponential, coronapocalypse, coronavirusupdate, coronaviru;13;insura, diabetes, insured, underinsu;4;0;0;stimulus, emergencyubi, evictionmoratorium, coronaubi;4;0;0
week_16;grassro, signalbooste, takeaction;3;sunrisemvmtboise, morehealthybuilding, pollutersoutnow, newgreendeal, abolishfossilfuelbillionaire, tellsmudcleanpower, ctcleanclimate, thereisnoplanetb, fossilfuelindustry, hydrocarbon;10;essential_worker, lockdown, distancing, socialdistance, quarantinelife, bailoutthepeople, infectious, epidemiologist, disinfectant, coronavirusoutbreak, staythefhome, trumpvirus, flattenthecurve, immunosuppresse, stayathomechallenge, quaratinelife, stopthespread, coronapocolypse, dontbeaspreader, coronacrisis, corniavirus, coronav, coronavir;23;pharmacy, smallpox, telemedicine;3;0;0;unemployed, stimuluspackage, peoplefirst;3;unsafe, unaddressed, disillusionment;3
week_17;0;0;earthdaylive, sunrise_school, peoplenotpolluter, sunriseschool, greenstimulus, demandafuture, fridayforfuture, talksforfuture, environmenta, gengreennewdeal, energyjusticeri, sunriseneu, earthhour, keepwateron, bailouttheplanet, decarbonized, thearthday, greenstimu;18;influenza, healthyla, pandemi, stayhome, nooneisdisposable, hospitalization, stayathomeorder, stayhomesavelive, emergencyjustice, healthjustice, hydroxychloroquine, azithromycin, flattenthecuve;13;0;0;0;0;peoplesbailout, cancelrent, need_peoplesbailout, stimulusbill, stimulusplan, bailoutpeoplenotcorporation, breadline, housedandhealthy, bailoutthepeoplenotcorporation, forgivenessnotforbearance;10;failedsystem, maddening;2
week_18;virtual_rally;1;navajo, greennewdealcrash, goodgreenjobsforall, digitalclimatestrike, cleancarrule, greenjobsnocut, environmentalracism, hydro, biomass, geotherm;10;essentialwork, sanitation, stayathome, whencoronavirusisover, covidfrontline, protectnurse, socialdistancing, distanceing, stayhomestaysafe, highriskcovid, stayathomenotinjail, coronaviruse, pandemicprofiteere, transmit, asymptomatically, universalmaske, healthcareheroe, coronavirusup;18;nomedicaidcut, nomedicaidcuts, publichealthispublicsafety;3;0;0;cancel_rent, protectmotenant, rentfreeze, housepeoplenow;4;0;0
week_19;wewillrise, democratize;2;standwithmashpee, climatestillacrisis, walkbackthefrack, cantcancelclimatechange, nodrillingwherewerelive, shutdownwyatt, umbclimatestory, greenjobsnocu, climateactivist, cantcancelclimatechang, earthdayquote, offfossilfuel;12;pandemicin, rebuildstronger, ppenow, protectallworkers, wisconsinpandemicvoting, thankshealthheroe, covi;7;worldhealthday;1;forourfuture;1;evictio, raisethewagevirtualmarch, rentfreezenow, studentloanforgiveness, tuitionfreehighere, affordablehousingforall, debtstrike;7;0;0
week_20;0;0;earthweek, earthdayliveboston, greenjobs, nodrillingwherewereliving, ecosocialism, taxpolluter, megadrought;7;chicoisolatedtogether, stimulusdeposit, caresact;3;unitedhealth, radiologist, anesthesiologist, unitedhealthgroup, pediatrician, unitedhealthcare;6;0;0;underpaid, stimuluspayment, livingwage, peoplebailout, cancelrentusa, fairfundnow, bailouthumansnow;7;0;0
week_21;activistas;1;happy_earthday, earthdaytownhall, investinthefuture, defundclimatechange, thisiswhyicall, earthweekla, environmentalhealthcoalition, climateuprisingsd, virtualclimateuprise, climatechalkout, endorsethegnd, defundfossilfuel, endfossilfinance, bpdisaster, greenfaith, peopleoverpolluter, recyclable, virtualclimateuprising, planetofthehuman, dogsagainstclimatechange, stopfundingourdeath, pollut, iowavirtualearthday, sustainabili, sustaining, ourplanetourhome, renewableriker, happyearthday, paloaltosunrise, earthdayeveryday, earthweekn, greennewdealsd, climateemerge, investinourfuture, deepwaterhorizon, contaminated, cleanair, cleanwater, naturalgas, climatechalkoutchallenge, fossill, earthdaywatchparty, nofossil, earthdayweek, cheerstoagreennewdeal, virtualclimatestrike, planetearth, storyofplastic, fighteverycrisis, cleanenergy, energydemocracy, stopfinancingfossilfuel, fossilfuelfinancer, greenpeaceusa, fightingforafutureforourfurryfriend, fossilfreefuture, cleanupourair, justfresnothing, defundfossilfuels, calearthday, earthrise, voteearth, greenway, laearthweeklive;64;putpeoplefirst, peopleoverprofit, reopenamerica, asymptomatic, righttobreathe, righttolive, epidemiology, quarentine, wherearethetest, trumpcovidfail, covidenier;11;medic, insureourfuture, typhus;3;yearsofchange;1;rentstrikericci, servicesnotsweep, justbailout, standupkc, peoplesbailou, corporatebailout, rentsuspension, profitsoverpeople;8;epicenter, unethical;2
week_22;strikeforourlive;1;earthdaytomayday, carbonemission, holocene, climatestrikeonl, saynotofossilmoney, energyjustice;6;justrecovery, protectallworker, essentialandexclude, essentialnotexpendable, essentialworke, essentialworkersday, ppeoverprofit, coronastrike, trumpownseverydeath;9;expandmedicaidtn;1;0;0;norent, foodnotrent, homelesscantstayhome, noeviction, cancelmortgage, supportlocalgem, cantpaymay, nyhomesguarantee, reclaimrentcontrol, protectamazonworker, housingrelief, maydaystrike, goodjobsforall, realreliefnow, wholefoodsstrike;15;0;0
week_23;0;0;climatestrikecr, sunrisesd, climatechanged, peoplesnotpolluter, ecofacism, stopmoneypipeline, rewindact;7;quarantime, capitalismisthepandemic;2;medication, nationalnursesday;2;0;0;housingforall, therewindact, unsheltered, evictionmoritori, raisethewagepa;5;unliveable;1
week_24;0;0;sunrisebannerdropchallenge, greenjobsrecovery, zerowaste, aquaculture, onlineclimatestrike, tidalenergy, energyforall;7;heroesact;1;0;0;0;0;canceltherent;1;0;0
week_25;anotheroregonispossible, changethenarrative;2;buildavillagesavetheearth, climatejusticerecovery, savergvfromlng, noeastiesubstation, protectgarciapasture, powerhouse, bankingonclimate, pollutio;8;trumpdeathtoll, recoveryforall, putpeopleoverprofit, protectessentialworkers, quarantinelifecalm, blacknewdeal;6;0;0;0;0;peoplesbudge, thepeoplesbudgetla;2;monstrosity;1
week_26;0;0;sunrisewwu;1;decarceratecovid, peoplescovidrespon;2;0;0;0;0;0;0;0;0
